condition,protocol,trial,stream_id,completion_ms,spread_ms
baseline,quic,21,0,50.28574999596458,5.925916993874125
baseline,quic,21,8,50.54520799603779,5.925916993874125
baseline,quic,21,4,56.07933299324941,5.925916993874125
baseline,quic,21,12,56.211666989838704,5.925916993874125
baseline,quic,22,0,51.20170800364576,4.9881250015459955
baseline,quic,22,8,51.3192920043366,4.9881250015459955
baseline,quic,22,4,53.803792005055584,4.9881250015459955
baseline,quic,22,12,56.18983300519176,4.9881250015459955
baseline,quic,23,8,64.75195800885558,57.18441698991228
baseline,quic,23,12,67.61604201165028,57.18441698991228
baseline,quic,23,0,119.97450000490062,57.18441698991228
baseline,quic,23,4,121.93637499876786,57.18441698991228
baseline,quic,24,0,53.432583998073824,8.748416003072634
baseline,quic,24,8,54.52895899361465,8.748416003072634
baseline,quic,24,4,59.85679199511651,8.748416003072634
baseline,quic,24,12,62.18100000114646,8.748416003072634
baseline,quic,25,0,82.66679100051988,3.9416249928763136
baseline,quic,25,8,82.84424999146722,3.9416249928763136
baseline,quic,25,4,84.7514159977436,3.9416249928763136
baseline,quic,25,12,86.60841599339619,3.9416249928763136
baseline,quic,26,0,57.712082998477854,2.559708009357564
baseline,quic,26,8,59.80862499563955,2.559708009357564
baseline,quic,26,4,60.085582997999154,2.559708009357564
baseline,quic,26,12,60.27179100783542,2.559708009357564
baseline,quic,27,0,52.39562501083128,2.600583989988081
baseline,quic,27,8,52.64195900235791,2.600583989988081
baseline,quic,27,4,54.852542001754045,2.600583989988081
baseline,quic,27,12,54.99620900081936,2.600583989988081
baseline,quic,28,0,81.21791599842254,4.786083998624235
baseline,quic,28,8,82.12774999265093,4.786083998624235
baseline,quic,28,4,85.81404099822976,4.786083998624235
baseline,quic,28,12,86.00399999704678,4.786083998624235
baseline,quic,29,0,53.40191700088326,6.915958001627587
baseline,quic,29,8,53.56345900509041,6.915958001627587
baseline,quic,29,4,58.34391700045671,6.915958001627587
baseline,quic,29,12,60.317875002510846,6.915958001627587
baseline,quic,30,0,55.18504099745769,6.929542010766454
baseline,quic,30,8,59.75941600627266,6.929542010766454
baseline,quic,30,4,60.05108299723361,6.929542010766454
baseline,quic,30,12,62.114583008224145,6.929542010766454
baseline,quic,31,0,58.95629098813515,2.201459006755613
baseline,quic,31,8,59.2079579946585,2.201459006755613
baseline,quic,31,4,60.936915993806906,2.201459006755613
baseline,quic,31,12,61.157749994890764,2.201459006755613
baseline,quic,32,0,51.7946670006495,5.7914999924832955
baseline,quic,32,8,53.92591700365301,5.7914999924832955
baseline,quic,32,4,57.53108400676865,5.7914999924832955
baseline,quic,32,12,57.58616699313279,5.7914999924832955
baseline,quic,33,0,55.90020801173523,2.528166995034553
baseline,quic,33,8,56.095417006872594,2.528166995034553
baseline,quic,33,4,58.153917008894496,2.528166995034553
baseline,quic,33,12,58.428375006769784,2.528166995034553
baseline,quic,34,0,76.57070799905341,49.04349999560509
baseline,quic,34,8,76.71420800033957,49.04349999560509
baseline,quic,34,4,125.41995799983852,49.04349999560509
baseline,quic,34,12,125.6142079946585,49.04349999560509
baseline,quic,35,8,57.172417000401765,2.602000007755123
baseline,quic,35,0,57.608667004387826,2.602000007755123
baseline,quic,35,4,59.5339590072399,2.602000007755123
baseline,quic,35,12,59.77441700815689,2.602000007755123
baseline,quic,36,0,56.20333300612401,3.0808330047875643
baseline,quic,36,8,56.57808300748002,3.0808330047875643
baseline,quic,36,4,58.072083003935404,3.0808330047875643
baseline,quic,36,12,59.28416601091158,3.0808330047875643
baseline,quic,37,0,71.84216700261459,2.333832992007956
baseline,quic,37,8,71.94912500563078,2.333832992007956
baseline,quic,37,4,74.10145799804013,2.333832992007956
baseline,quic,37,12,74.17599999462254,2.333832992007956
baseline,quic,38,0,50.59587499999907,5.23375000921078
baseline,quic,38,8,52.98029200639576,5.23375000921078
baseline,quic,38,4,53.23179200058803,5.23375000921078
baseline,quic,38,12,55.82962500920985,5.23375000921078
baseline,quic,39,0,52.032125007826835,2.323915992747061
baseline,quic,39,8,52.147666006931104,2.323915992747061
baseline,quic,39,4,54.2705000116257,2.323915992747061
baseline,quic,39,12,54.356041000573896,2.323915992747061
lossy,tcp,0,0,55.80250000639353,375.31425000634044
lossy,tcp,0,1,55.811583006288856,375.31425000634044
lossy,tcp,0,2,58.06616600602865,375.31425000634044
lossy,tcp,0,3,431.116750012734,375.31425000634044
lossy,tcp,1,0,50.687750001088716,7.266083004651591
lossy,tcp,1,1,55.60308300482575,7.266083004651591
lossy,tcp,1,2,57.95104200660717,7.266083004651591
lossy,tcp,1,3,57.95383300574031,7.266083004651591
lossy,tcp,2,0,52.34258399286773,2.457958005834371
lossy,tcp,2,1,52.34524999104906,2.457958005834371
lossy,tcp,2,2,54.79841699707322,2.457958005834371
lossy,tcp,2,3,54.8005419987021,2.457958005834371
lossy,tcp,3,0,740.7780829962576,0.020624996977858245
lossy,tcp,3,1,740.7872909971047,0.020624996977858245
lossy,tcp,3,2,740.7936660019914,0.020624996977858245
lossy,tcp,3,3,740.7987079932354,0.020624996977858245
lossy,tcp,4,0,58.78991600184236,2.1524999901885167
lossy,tcp,4,1,60.93820800015237,2.1524999901885167
lossy,tcp,4,2,60.94062500051223,2.1524999901885167
lossy,tcp,4,3,60.942415992030874,2.1524999901885167
lossy,tcp,5,0,47.870334004983306,58.33712499588728
lossy,tcp,5,1,106.19970900006592,58.33712499588728
lossy,tcp,5,2,106.20520899828989,58.33712499588728
lossy,tcp,5,3,106.20745900087059,58.33712499588728
lossy,tcp,6,0,55.8917080052197,1.9941249920520931
lossy,tcp,6,1,57.88033299904782,1.9941249920520931
lossy,tcp,6,2,57.88375000702217,1.9941249920520931
lossy,tcp,6,3,57.88583299727179,1.9941249920520931
lossy,tcp,7,0,52.67587500566151,2.2492080024676397
lossy,tcp,7,1,54.91566700220574,2.2492080024676397
lossy,tcp,7,2,54.92179200518876,2.2492080024676397
lossy,tcp,7,3,54.92508300812915,2.2492080024676397
lossy,tcp,8,0,53.506750002270564,0.012667005648836493
lossy,tcp,8,1,53.51262500334997,0.012667005648836493
lossy,tcp,8,2,53.51645800692495,0.012667005648836493
lossy,tcp,8,3,53.5194170079194,0.012667005648836493
lossy,tcp,9,0,55.311459000222385,1.9794999971054494
lossy,tcp,9,1,55.31654199876357,1.9794999971054494
lossy,tcp,9,2,55.318917002296075,1.9794999971054494
lossy,tcp,9,3,57.290958997327834,1.9794999971054494
lossy,tcp,10,0,53.98333400080446,2.9472500027623028
lossy,tcp,10,1,53.990125001291744,2.9472500027623028
lossy,tcp,10,2,53.99283400038257,2.9472500027623028
lossy,tcp,10,3,56.930584003566764,2.9472500027623028
lossy,tcp,11,0,79.69041699834634,1.9558330095605925
lossy,tcp,11,1,79.69949999824166,1.9558330095605925
lossy,tcp,11,2,79.70354199642316,1.9558330095605925
lossy,tcp,11,3,81.64625000790693,1.9558330095605925
lossy,tcp,12,0,77.01712498965207,2.083000013954006
lossy,tcp,12,1,77.02079199953005,2.083000013954006
lossy,tcp,12,2,79.09712499531452,2.083000013954006
