condition,protocol,trial,duration_ms
baseline,dtls,2,52.89858298783656
baseline,dtls,3,53.19016700377688
baseline,dtls,4,54.4767499959562
lossy,tcp,0,134.73045799764805
lossy,tcp,1,94.25670799100772
lossy,tcp,2,95.05124999850523
lossy,tcp,3,94.32458400260657
lossy,tcp,4,94.65879200433847
lossy,quic,0,66.00608299777377
lossy,quic,1,66.24720800027717
lossy,quic,2,204.01895898976363
lossy,quic,3,65.19624999782536
lossy,quic,4,65.37358299829066
lossy,dtls,0,68.28316699829884
lossy,dtls,1,58.08412499027327
lossy,dtls,2,57.28687500231899
lossy,dtls,3,55.500083006336354
lossy,dtls,4,57.13629099773243
